Status,index,table_name,column_name,dxpx,mod_grp,ix,valtype_cd,DATA_TYPE,DATA_LENGTH,description,i2b2,Note,Reference Link
,0,hospice_value_codes,BENE_ID,,,,T,VARCHAR2,15,Encrypted 723 Beneficiary ID
,1,hospice_value_codes,CLM_ID,,,,T,VARCHAR2,15,Encrypted Claim ID
,2,hospice_value_codes,NCH_CLM_TYPE_CD,,,,@,VARCHAR2,2,NCH Claim Type Code
,3,hospice_value_codes,RLT_VAL_CD_SEQ,,,,@,VARCHAR2,2,Claim Related Value Code Sequence
,4,hospice_value_codes,CLM_VAL_CD,,,,@,VARCHAR2,2,Claim Value Code
,5,hospice_value_codes,CLM_VAL_AMT,,,,N,NUMBER,22,Claim Value Amount
,6,hospice_occurrnce_codes,BENE_ID,,,,T,VARCHAR2,15,Encrypted 723 Beneficiary ID
,7,hospice_occurrnce_codes,CLM_ID,,,,T,VARCHAR2,15,Encrypted Claim ID
,8,hospice_occurrnce_codes,NCH_CLM_TYPE_CD,,,,@,VARCHAR2,2,NCH Claim Type Code
,9,hospice_occurrnce_codes,RLT_OCRNC_CD_SEQ,,,,@,VARCHAR2,2,Claim Related Occurrence Code Sequence
,10,hospice_occurrnce_codes,CLM_RLT_OCRNC_CD,,,,@,VARCHAR2,2,Claim Related Occurrence Code
,11,hospice_occurrnce_codes,CLM_RLT_OCRNC_DT,,,,D,DATE,7,Claim Related Occurrence Date
,12,hha_condition_codes,BENE_ID,,,,T,VARCHAR2,15,Encrypted 723 Beneficiary ID
,13,hha_condition_codes,CLM_ID,,,,T,VARCHAR2,15,Encrypted Claim ID
,14,hha_condition_codes,NCH_CLM_TYPE_CD,,,,@,VARCHAR2,2,NCH Claim Type Code
,15,hha_condition_codes,RLT_COND_CD_SEQ,,,,@,VARCHAR2,2,Claim Related Condition Code Sequence
,16,hha_condition_codes,CLM_RLT_COND_CD,,,,@,VARCHAR2,2,Claim Related Condition Code
,17,mbsf_d_cmpnts,BENE_ID,,,,T,VARCHAR2,15,Encrypted 723 Beneficiary ID (Unique Key)
,18,mbsf_d_cmpnts,BENE_ENROLLMT_REF_YR,,,,N,NUMBER,22,Beneficiary Enrollment Reference Year
,19,mbsf_d_cmpnts,CRDTBL_CVRG_SW,,,,@,VARCHAR2,1,Creditable Coverage Switch
,20,mbsf_d_cmpnts,PLAN_CVRG_MOS_NUM,,,,@,VARCHAR2,2,Plan Coverage Months Number
,21,mbsf_d_cmpnts,RDS_CVRG_MOS_NUM,,,,@,VARCHAR2,2,Retiree Drug Subsidy Coverage Months Number
,22,mbsf_d_cmpnts,DUAL_ELGBL_MOS_NUM,,,,@,VARCHAR2,2,Dual Eligible Months Number
,23,mbsf_d_cmpnts,PTD_CNTRCT_ID_01,,,,@,VARCHAR2,5,Jan. Contract ID
,24,mbsf_d_cmpnts,PTD_CNTRCT_ID_02,,,,@,VARCHAR2,5,Feb. Contract ID
,25,mbsf_d_cmpnts,PTD_CNTRCT_ID_03,,,,@,VARCHAR2,5,Mar. Contract ID
,26,mbsf_d_cmpnts,PTD_CNTRCT_ID_04,,,,@,VARCHAR2,5,Apr. Contract ID
,27,mbsf_d_cmpnts,PTD_CNTRCT_ID_05,,,,@,VARCHAR2,5,May Contract ID
,28,mbsf_d_cmpnts,PTD_CNTRCT_ID_06,,,,@,VARCHAR2,5,Jun. Contract ID
,29,mbsf_d_cmpnts,PTD_CNTRCT_ID_07,,,,@,VARCHAR2,5,Jul. Contract ID
,30,mbsf_d_cmpnts,PTD_CNTRCT_ID_08,,,,@,VARCHAR2,5,Aug. Contract ID
,31,mbsf_d_cmpnts,PTD_CNTRCT_ID_09,,,,@,VARCHAR2,5,Sep. Contract ID
,32,mbsf_d_cmpnts,PTD_CNTRCT_ID_10,,,,@,VARCHAR2,5,Oct. Contract ID
,33,mbsf_d_cmpnts,PTD_CNTRCT_ID_11,,,,@,VARCHAR2,5,Nov. Contract ID
,34,mbsf_d_cmpnts,PTD_CNTRCT_ID_12,,,,@,VARCHAR2,5,Dec. Contract ID
,35,mbsf_d_cmpnts,PTD_PBP_ID_01,,,,@,VARCHAR2,3,Jan. Plan Benefit Package ID
,36,mbsf_d_cmpnts,PTD_PBP_ID_02,,,,@,VARCHAR2,3,Feb. Plan Benefit Package ID
,37,mbsf_d_cmpnts,PTD_PBP_ID_03,,,,@,VARCHAR2,3,Mar. Plan Benefit Package ID
,38,mbsf_d_cmpnts,PTD_PBP_ID_04,,,,@,VARCHAR2,3,Apr. Plan Benefit Package ID
,39,mbsf_d_cmpnts,PTD_PBP_ID_05,,,,@,VARCHAR2,3,May Plan Benefit Package ID
,40,mbsf_d_cmpnts,PTD_PBP_ID_06,,,,@,VARCHAR2,3,Jun. Plan Benefit Package ID
,41,mbsf_d_cmpnts,PTD_PBP_ID_07,,,,@,VARCHAR2,3,Jul. Plan Benefit Package ID
,42,mbsf_d_cmpnts,PTD_PBP_ID_08,,,,@,VARCHAR2,3,Aug. Plan Benefit Package ID
,43,mbsf_d_cmpnts,PTD_PBP_ID_09,,,,@,VARCHAR2,3,Sep. Plan Benefit Package ID
,44,mbsf_d_cmpnts,PTD_PBP_ID_10,,,,@,VARCHAR2,3,Oct. Plan Benefit Package ID
,45,mbsf_d_cmpnts,PTD_PBP_ID_11,,,,@,VARCHAR2,3,Nov. Plan Benefit Package ID
,46,mbsf_d_cmpnts,PTD_PBP_ID_12,,,,@,VARCHAR2,3,Dec. Plan Benefit Package ID
